Car_ID,Brand,Model,Year,Engine_Size,Cylinders,Transmission,Fuel_Type,Mileage,Horsepower,Doors,Weight,Color,Price
33,Ford,Mustang,2005,6.4,6,Manual,Diesel,5.8,169,4,2610,White,41855
34,BMW,3 Series,2015,6.3,12,Automatic,Petrol,18.8,690,3,1433,Red,141435
35,Tesla,Model 3,2014,4.6,8,Automatic,Hybrid,15.3,496,2,3094,Black,101906
36,Ford,Focus,2011,1.1,10,Manual,Petrol,6.9,143,3,1757,White,28386
37,BMW,5 Series,2010,3.6,3,Manual,Diesel,18.0,571,3,3289,Red,117623
38,Mercedes,GLE,2005,1.4,12,Manual,Petrol,22.3,209,4,1651,White,51463
39,Honda,Civic,2022,5.5,5,Automatic,Hybrid,12.7,466,5,1866,White,70706
40,Honda,CR-V,1991,1.2,4,Automatic,Electric,6.4,654,3,2425,Green,95470
41,Toyota,Prius,1993,4.8,4,Automatic,Electric,22.5,469,2,1475,Blue,71050
42,Ford,Focus,2024,3.3,4,Automatic,Electric,16.6,239,5,836,White,59720
43,Mercedes,GLA,2014,2.3,10,Automatic,Petrol,15.1,391,2,1498,Black,86355
44,Honda,Civic,2008,1.5,12,Manual,Diesel,18.5,613,4,2190,Silver,68050
45,Honda,Civic,2010,5.1,12,Manual,Petrol,7.3,91,3,3245,Yellow,27519
46,Ford,Mustang,2018,2.9,4,Automatic,Hybrid,18.8,541,2,2342,Green,82119
47,BMW,3 Series,2016,4.9,8,Automatic,Petrol,9.7,697,5,2188,Red,158843
48,Toyota,Prius,1996,6.4,6,Manual,Diesel,19.2,494,5,2005,Yellow,65476
49,BMW,X3,1992,2.4,4,Manual,Diesel,6.1,525,5,1628,Yellow,97319
50,Toyota,Prius,2002,2.3,3,Automatic,Hybrid,10.7,166,3,2905,White,35501
51,Mercedes,C-Class,2010,1.2,8,Automatic,Hybrid,6.5,276,4,2355,Red,67061
52,Toyota,Corolla,2003,2.6,3,Automatic,Diesel,16.7,520,2,1835,Blue,76507
53,Tesla,Model Y,2013,4.4,4,Manual,Hybrid,14.3,365,3,1339,White,85654
54,Honda,Fit,2016,4.8,3,Automatic,Petrol,13.2,510,5,1724,Silver,85593
55,Mercedes,E-Class,2007,3.3,8,Automatic,Petrol,13.4,291,4,1676,Silver,61190
56,Toyota,Camry,1990,3.6,12,Automatic,Electric,16.9,112,2,1488,Silver,22525
57,Toyota,Prius,1990,1.1,12,Manual,Hybrid,21.3,694,3,2260,Yellow,82186
58,Mercedes,E-Class,1999,3.1,8,Manual,Petrol,7.6,100,2,1516,White,33276
59,Toyota,RAV4,2021,1.3,12,Manual,Electric,18.4,487,3,1570,Black,80456
60,Toyota,Camry,1994,1.5,5,Automatic,Petrol,7.7,352,4,2052,Silver,46308
61,Ford,Mustang,2023,2.9,4,Manual,Diesel,16.1,484,4,2817,White,75306
62,Toyota,RAV4,2004,3.2,12,Manual,Electric,19.0,187,5,2153,Red,39510
63,Mercedes,E-Class,1995,3.7,8,Manual,Electric,16.6,160,2,2942,Black,46624
64,Honda,Fit,1993,2.9,5,Manual,Electric,15.3,110,3,1828,Blue,24478
65,Mercedes,E-Class,2010,4.0,8,Automatic,Hybrid,9.1,595,2,1901,Blue,127647
66,Toyota,Camry,2011,1.4,10,Automatic,Electric,12.5,386,3,2080,Red,69408
67,Honda,CR-V,2011,2.3,6,Automatic,Diesel,14.3,414,3,1325,Black,55867
68,Ford,Mustang,2012,3.8,12,Manual,Petrol,22.3,64,5,2454,Silver,25421
69,Toyota,Corolla,2011,2.8,6,Automatic,Petrol,11.9,74,5,866,Red,27087
70,Honda,CR-V,2011,4.2,3,Manual,Electric,12.6,662,3,2105,Blue,97501
71,Ford,Focus,1995,4.3,3,Automatic,Diesel,9.5,631,4,3471,White,85159
72,Tesla,Model 3,2019,2.0,12,Automatic,Electric,6.0,592,5,1028,White,168997
73,Tesla,Model 3,2009,6.3,6,Automatic,Diesel,24.5,655,5,2821,Black,147090
74,BMW,X3,2000,4.1,5,Automatic,Hybrid,9.1,459,3,2610,White,93287
75,Toyota,RAV4,1990,4.4,10,Automatic,Diesel,8.1,308,2,1701,Blue,41818
76,Mercedes,GLA,1999,6.4,8,Manual,Diesel,6.8,368,2,3176,Red,74207
77,Tesla,Model X,2024,2.9,3,Automatic,Diesel,19.9,383,2,1175,Black,109727
78,Honda,CR-V,2024,6.1,10,Manual,Hybrid,20.6,278,3,2651,Green,64699
79,Mercedes,C-Class,2008,4.7,4,Manual,Hybrid,11.3,91,2,3249,Yellow,48125
80,Ford,Focus,2022,5.1,12,Automatic,Petrol,12.1,552,3,2797,Silver,94074
81,Ford,Mustang,1995,6.2,12,Automatic,Hybrid,18.9,549,4,2446,Silver,71601
82,Tesla,Model X,2016,5.3,10,Automatic,Petrol,19.1,460,4,3136,Green,98358
83,BMW,5 Series,1994,5.8,3,Manual,Diesel,15.7,277,2,3063,White,63094
84,Mercedes,GLE,1994,3.7,6,Manual,Petrol,19.4,144,4,2755,White,43046
85,Ford,Focus,2009,2.0,4,Manual,Diesel,9.5,72,4,1145,Green,25551
86,BMW,3 Series,2007,4.4,12,Manual,Hybrid,16.9,405,5,2147,Silver,102421
87,BMW,3 Series,2017,3.1,3,Manual,Electric,19.7,345,2,2230,Red,91729
88,Mercedes,E-Class,2025,1.7,3,Automatic,Electric,11.2,420,5,2734,Silver,116320
89,Mercedes,C-Class,1999,5.4,8,Manual,Petrol,7.3,293,2,2425,Black,79276
90,BMW,X3,2023,6.1,5,Automatic,Hybrid,23.3,231,5,824,Yellow,72534
91,Mercedes,GLE,2022,3.0,12,Automatic,Diesel,9.4,518,2,1766,Red,131988
92,Toyota,RAV4,2011,1.5,8,Manual,Petrol,11.0,190,3,3062,Black,33551
93,Ford,Fusion,2021,3.6,3,Automatic,Petrol,14.4,473,4,2865,Red,79250
94,BMW,5 Series,2017,3.6,10,Manual,Electric,8.1,313,2,854,Yellow,106908
95,BMW,5 Series,2008,4.5,6,Automatic,Electric,24.6,227,4,1632,Red,71686
96,Ford,Mustang,1997,1.6,12,Automatic,Electric,22.7,653,4,2087,Blue,99815
97,Tesla,Model Y,2005,3.2,8,Manual,Petrol,13.1,56,3,1574,Red,31339
98,Ford,Escape,2008,4.2,6,Manual,Diesel,23.2,572,3,2209,Black,79599
99,Honda,Fit,1994,2.9,10,Automatic,Diesel,22.2,549,3,2187,Red,73573
100,Ford,Fusion,2012,5.4,3,Manual,Electric,15.2,570,5,1036,Red,90251
101,Tesla,Model 3,1993,1.7,8,Automatic,Diesel,10.4,124,3,2975,Silver,35216
102,Toyota,Camry,2023,4.0,3,Manual,Diesel,19.4,678,3,1141,Silver,88543
103,Tesla,Model X,2023,4.3,3,Automatic,Electric,16.5,450,3,1501,Blue,128238
104,BMW,X5,1990,1.5,6,Automatic,Diesel,6.4,345,4,1936,Black,58813
105,Ford,Fusion,2023,3.2,10,Manual,Petrol,14.7,597,4,2562,White,74426
106,Tesla,Model X,2023,4.4,4,Automatic,Petrol,6.5,66,2,2040,Silver,54991
107,BMW,3 Series,2024,5.5,8,Manual,Hybrid,24.4,151,3,3371,Black,64241
108,Ford,Mustang,2006,6.2,12,Automatic,Electric,6.7,641,5,1138,Yellow,113215
109,Mercedes,E-Class,2005,5.7,3,Manual,Petrol,17.9,620,3,1288,Silver,130925
110,BMW,X5,1996,6.5,4,Automatic,Diesel,23.3,384,2,936,Black,94948
111,BMW,X3,2012,5.4,12,Manual,Hybrid,21.9,451,4,1414,Red,108476
112,Ford,Escape,2023,5.9,5,Manual,Diesel,19.5,413,4,3344,White,77899
113,Toyota,Corolla,2007,3.9,8,Manual,Hybrid,9.7,360,4,1345,Green,47051
114,Mercedes,C-Class,2007,6.2,5,Automatic,Electric,5.2,78,3,2832,Silver,47439
115,Honda,Civic,2005,5.8,12,Automatic,Diesel,6.8,408,5,1188,Red,57141
116,Ford,Focus,2003,2.6,4,Manual,Diesel,9.7,481,2,2798,Red,56060
117,Toyota,RAV4,1993,2.2,4,Automatic,Petrol,10.2,429,3,1606,Yellow,59731
118,Ford,Fusion,2002,6.4,12,Manual,Hybrid,9.6,624,3,1684,Black,83315
119,BMW,X3,2023,3.1,3,Automatic,Diesel,20.6,566,2,853,Yellow,113561
120,Toyota,Prius,2009,6.5,8,Automatic,Diesel,15.3,111,2,3063,Black,38699
121,Tesla,Model S,2014,4.3,10,Automatic,Diesel,14.1,372,4,1787,Silver,101584
122,Toyota,Camry,2001,1.2,12,Manual,Petrol,16.0,275,5,1774,Green,36931
123,Mercedes,GLE,2015,3.9,8,Manual,Hybrid,18.7,642,3,2124,Green,134965
124,BMW,X3,2023,4.0,8,Automatic,Petrol,22.6,196,5,2939,Red,63387
125,Toyota,Corolla,2014,6.1,6,Automatic,Electric,20.1,56,2,1356,Blue,37705
126,BMW,5 Series,2021,2.8,10,Automatic,Electric,5.0,307,3,1388,Silver,92500
127,BMW,X5,2002,4.4,3,Automatic,Petrol,7.3,497,5,3212,Black,89697
128,Ford,Fusion,1996,4.0,4,Automatic,Hybrid,17.7,271,2,1788,Green,46491
129,Honda,Accord,1993,2.7,3,Manual,Diesel,19.2,71,3,3057,Blue,20245
130,Mercedes,GLE,2025,4.6,6,Automatic,Hybrid,5.5,82,3,2926,Black,52212
131,BMW,5 Series,2023,6.5,3,Automatic,Petrol,22.1,320,4,3004,Black,86927
132,BMW,X3,2003,2.3,5,Automatic,Electric,24.0,489,5,1788,Silver,129049
133,Mercedes,GLA,2009,3.2,3,Automatic,Electric,11.2,619,5,1733,Yellow,156939
134,Ford,Escape,2014,4.9,4,Automatic,Hybrid,14.5,633,5,3277,Red,97342
135,Mercedes,GLE,2004,3.5,4,Manual,Electric,17.5,585,5,1177,Black,123483
136,Toyota,Camry,2003,4.3,10,Manual,Hybrid,13.6,550,2,3233,Black,83550
137,Toyota,RAV4,2010,1.4,4,Manual,Electric,17.0,593,4,2124,Red,101584
138,Tesla,Model S,1997,5.0,5,Manual,Petrol,9.8,95,5,1391,Green,39605
139,Honda,Civic,1999,5.3,4,Manual,Petrol,15.4,638,5,1717,Yellow,72297
140,BMW,5 Series,2004,2.1,12,Manual,Petrol,24.0,366,4,1434,Green,79832
141,Toyota,Prius,2020,4.0,4,Manual,Hybrid,23.9,367,5,2141,Yellow,68621
142,Ford,Escape,2005,4.0,4,Manual,Diesel,14.6,176,2,1673,Green,31569
143,Tesla,Model Y,2012,4.6,3,Automatic,Electric,9.4,616,3,1484,Silver,165318
144,Ford,Escape,2007,1.1,5,Manual,Petrol,24.9,108,4,2537,Black,27353
145,Mercedes,E-Class,2004,2.4,6,Automatic,Diesel,24.2,73,5,1315,White,33021
146,Honda,Fit,2013,4.0,5,Manual,Petrol,13.8,166,3,2335,White,43480
147,BMW,X5,1995,4.6,5,Automatic,Diesel,23.2,317,4,1329,Silver,73985
148,Ford,Fusion,1997,3.2,10,Automatic,Diesel,9.8,383,3,1174,Silver,57085
149,Mercedes,C-Class,2003,3.8,3,Manual,Diesel,6.9,194,4,2840,White,50916
150,Mercedes,C-Class,1990,5.3,6,Automatic,Electric,14.1,444,3,1429,Green,97992
151,Mercedes,E-Class,2001,5.6,3,Automatic,Hybrid,16.8,562,2,1375,Green,101417
152,Toyota,Prius,2001,3.6,3,Manual,Hybrid,13.9,416,4,2725,White,58188
153,Honda,Accord,2003,1.3,12,Automatic,Hybrid,6.0,50,4,1858,Green,16678
154,Ford,Focus,2022,3.8,10,Manual,Diesel,12.9,291,5,2074,Black,47720
155,Toyota,Camry,2018,5.8,12,Manual,Electric,15.4,477,3,2998,Green,85266
156,BMW,5 Series,1997,6.3,3,Automatic,Hybrid,8.1,407,2,2318,Green,81516
157,Toyota,Prius,2015,3.1,10,Manual,Diesel,17.4,697,4,1387,Black,103724
158,Tesla,Model Y,2022,4.3,12,Manual,Diesel,12.9,118,2,1809,Green,55662
159,Toyota,Corolla,2014,5.8,3,Automatic,Petrol,10.8,373,3,1293,White,66167
160,Tesla,Model 3,2007,5.8,12,Automatic,Petrol,21.4,393,3,1621,Yellow,78571
161,Toyota,RAV4,1996,4.1,5,Manual,Petrol,14.0,354,5,3138,White,42335
162,Ford,Mustang,1997,4.7,4,Manual,Diesel,15.0,134,3,3175,Blue,28769
163,Mercedes,C-Class,2015,1.6,8,Manual,Hybrid,16.6,349,5,842,Yellow,89918
164,BMW,X5,2010,2.1,12,Manual,Electric,6.4,448,2,2627,Black,109233
165,Honda,Civic,2002,2.9,4,Manual,Petrol,17.3,422,5,3341,Black,64967
166,Honda,CR-V,1997,2.7,6,Manual,Diesel,13.0,638,5,2937,Red,76864
167,Honda,Accord,2002,2.0,12,Manual,Petrol,16.3,347,5,835,White,48459
168,Tesla,Model S,2002,4.3,10,Automatic,Diesel,16.9,75,2,2606,Blue,33773
169,Toyota,Corolla,1997,5.2,3,Manual,Electric,20.6,99,5,3378,White,30720
170,BMW,3 Series,2007,5.2,4,Automatic,Electric,16.7,610,4,2049,Red,135551
171,Toyota,Camry,2004,2.3,12,Manual,Electric,9.6,639,2,3356,Red,95127
172,BMW,X5,2024,4.3,4,Automatic,Diesel,13.6,216,2,3306,Yellow,71495
173,Tesla,Model X,1993,5.0,4,Manual,Electric,20.5,85,5,2564,Red,41663
174,Toyota,RAV4,2022,2.2,3,Automatic,Hybrid,13.8,691,5,3364,White,85938
175,Mercedes,GLE,1997,4.6,10,Manual,Petrol,14.1,391,3,1953,Yellow,78769
176,Tesla,Model S,2024,5.0,10,Manual,Hybrid,16.6,491,5,3300,Silver,122673
177,Toyota,Prius,2005,3.3,10,Automatic,Electric,20.1,449,5,3362,Green,68863
178,Honda,CR-V,1994,5.1,6,Automatic,Petrol,18.4,133,3,3253,Blue,30364
179,Toyota,Corolla,2005,3.8,6,Manual,Petrol,5.7,530,4,2961,Silver,68212
180,Mercedes,E-Class,2016,2.3,3,Automatic,Electric,12.9,456,3,1110,Green,135874
181,Ford,Mustang,2011,4.1,6,Manual,Hybrid,23.6,91,3,1393,Silver,29648
182,BMW,5 Series,2003,5.4,12,Manual,Diesel,6.6,454,4,3425,Black,103202
183,BMW,5 Series,2009,4.2,4,Automatic,Diesel,7.7,338,5,894,Green,73035
184,Tesla,Model 3,1992,6.2,10,Automatic,Petrol,12.4,441,2,1763,Red,81951
185,Mercedes,GLE,2001,6.3,6,Automatic,Electric,15.1,496,3,2684,Black,129681
186,Honda,CR-V,2008,3.1,8,Automatic,Diesel,14.2,691,3,1489,Silver,90895
187,Toyota,Prius,2008,1.9,8,Automatic,Hybrid,11.1,312,5,1199,White,49751
188,Honda,CR-V,2006,2.3,6,Manual,Petrol,17.5,173,3,2308,White,32786
189,Mercedes,GLA,1996,3.9,10,Manual,Electric,19.7,647,2,1309,Yellow,137833
190,Ford,Focus,2004,4.2,12,Manual,Hybrid,15.7,114,2,3060,Blue,27394
191,Mercedes,C-Class,2007,1.4,6,Automatic,Electric,10.3,444,4,2740,White,100419
192,Mercedes,E-Class,1993,5.8,6,Manual,Hybrid,21.2,485,2,3401,Silver,108627
193,Toyota,Corolla,2006,4.6,3,Automatic,Diesel,13.8,78,2,1041,Blue,25647
194,Mercedes,GLE,2000,3.7,5,Manual,Hybrid,9.5,222,4,3428,White,56832
195,Mercedes,GLE,2002,1.2,12,Automatic,Petrol,6.4,457,4,2468,White,94002
196,BMW,X3,2025,2.9,12,Automatic,Electric,20.7,612,4,3289,Silver,160849
197,Tesla,Model Y,1997,2.5,10,Automatic,Hybrid,15.3,386,4,1159,Red,87166
198,BMW,X3,2025,4.4,10,Automatic,Petrol,24.2,168,3,1169,Blue,75019
199,Honda,CR-V,1991,4.3,8,Manual,Electric,15.4,337,5,2049,Black,47281
200,Toyota,RAV4,2007,2.2,3,Manual,Electric,16.0,675,3,3261,White,89673
201,Ford,Fusion,2010,2.6,10,Automatic,Electric,21.9,282,4,2996,Silver,51790
202,Tesla,Model Y,1996,2.0,5,Manual,Diesel,20.1,394,3,1569,Silver,79802
203,Honda,CR-V,2020,3.7,12,Manual,Hybrid,19.7,470,2,2176,Black,68143
204,Ford,Mustang,2018,1.5,6,Automatic,Petrol,20.2,160,5,1161,Blue,31766
205,Toyota,RAV4,1994,5.8,6,Manual,Electric,13.0,540,2,2228,Green,86550
206,Ford,Fusion,2002,4.0,6,Manual,Diesel,20.2,615,5,3056,Green,71493
207,BMW,3 Series,2009,2.8,5,Automatic,Electric,14.4,260,2,1497,White,77693
208,Honda,Fit,1999,5.9,5,Manual,Petrol,18.3,454,3,2885,Green,60986
209,Toyota,Corolla,2009,3.2,12,Manual,Petrol,17.8,385,3,1878,White,58851
210,Tesla,Model Y,2023,4.3,5,Automatic,Hybrid,21.5,368,3,3058,Green,102818
211,Honda,Accord,2020,5.5,5,Manual,Petrol,7.9,232,2,2006,Red,45100
212,Honda,Civic,2017,5.0,5,Automatic,Hybrid,11.0,210,2,997,White,46945
213,Ford,Mustang,1995,6.5,6,Automatic,Electric,16.4,449,2,2328,White,71497
214,BMW,X3,2002,4.9,10,Manual,Diesel,10.5,612,2,2249,Black,116806
215,Ford,Focus,2018,3.5,6,Automatic,Petrol,14.2,310,5,2425,White,47788
216,BMW,X3,1990,5.3,6,Manual,Petrol,8.2,413,5,2419,Red,92522
217,Tesla,Model Y,2019,1.2,12,Automatic,Electric,23.1,681,3,2814,Blue,177565
218,Tesla,Model Y,1998,3.7,5,Manual,Diesel,23.1,490,2,3043,Blue,92782
219,Tesla,Model X,2004,1.1,5,Manual,Hybrid,16.2,248,2,2249,Blue,56269
220,Tesla,Model S,2010,2.4,5,Automatic,Diesel,8.8,354,4,1170,Red,91862
221,Honda,Civic,2022,1.8,6,Automatic,Diesel,6.8,647,4,3136,Red,101143
222,Mercedes,E-Class,2017,5.0,3,Automatic,Diesel,16.0,659,3,2317,Green,152196
223,BMW,3 Series,1994,6.2,3,Manual,Diesel,14.2,484,2,1387,Yellow,97414
224,Honda,CR-V,1999,6.4,5,Automatic,Petrol,9.0,440,2,1331,Blue,59885
225,Tesla,Model Y,2011,1.1,8,Automatic,Diesel,8.2,430,2,2905,White,97587
226,BMW,3 Series,1992,6.0,3,Manual,Hybrid,21.0,485,4,3448,Black,91833
227,Ford,Focus,2000,2.1,4,Manual,Hybrid,12.1,346,5,1284,Silver,45061
228,Toyota,Prius,2004,6.0,4,Manual,Hybrid,18.9,317,3,1647,Black,50535
229,Ford,Fusion,2022,4.3,12,Manual,Hybrid,22.9,668,2,3107,Green,97510
230,Tesla,Model X,2021,1.6,5,Manual,Electric,24.3,624,2,2710,Silver,161274
231,Mercedes,E-Class,1993,6.5,4,Automatic,Electric,8.2,586,4,3200,White,143596
232,BMW,5 Series,1994,6.4,6,Automatic,Petrol,21.4,483,3,3058,White,91928
233,Ford,Fusion,1998,3.0,4,Manual,Electric,22.6,326,5,2041,Green,58955
234,Ford,Escape,2023,2.9,12,Manual,Diesel,17.3,328,5,1695,Green,62838
235,Honda,CR-V,2019,6.4,5,Automatic,Hybrid,19.8,115,4,1735,White,42812
236,Tesla,Model S,2009,2.2,12,Automatic,Hybrid,17.9,565,3,2744,Yellow,104940
237,Mercedes,GLA,2003,6.0,3,Automatic,Petrol,20.8,256,3,1938,Red,76913
238,Ford,Mustang,2016,3.1,10,Manual,Diesel,22.3,596,4,2365,Yellow,72644
239,Honda,Civic,2014,3.3,10,Manual,Diesel,10.6,132,3,2249,Black,38365
240,Honda,Civic,1996,4.4,3,Automatic,Hybrid,21.6,557,4,1197,Green,62291
241,Honda,Fit,2006,2.3,3,Manual,Hybrid,11.0,252,2,2562,Red,39149
242,Tesla,Model S,1993,1.4,6,Manual,Diesel,18.4,671,3,2455,Yellow,117848
243,Mercedes,E-Class,2019,3.4,5,Manual,Diesel,22.1,374,5,2099,Silver,95761
244,Toyota,Corolla,1998,6.0,6,Automatic,Petrol,6.3,529,2,1831,Silver,75035
245,Honda,Accord,2001,3.6,12,Automatic,Electric,22.9,654,3,3079,Silver,101403
246,Honda,Civic,2018,4.5,12,Automatic,Hybrid,7.1,455,5,1378,Green,66177
247,BMW,X3,1990,2.5,10,Manual,Diesel,10.1,622,5,1061,Blue,119431
248,Ford,Escape,1990,3.5,8,Automatic,Electric,8.9,340,5,2675,Red,53364
249,Tesla,Model S,1997,1.2,6,Automatic,Diesel,14.3,367,3,2186,Green,79631
250,Toyota,RAV4,2006,1.6,5,Automatic,Electric,16.5,600,2,2527,Black,78125
251,Ford,Focus,1990,3.1,5,Manual,Hybrid,23.2,158,5,3292,Red,27922
252,Honda,Accord,1994,1.0,5,Manual,Electric,19.4,480,4,2510,White,71595
253,BMW,X5,2019,5.4,6,Manual,Petrol,7.4,461,5,1907,Red,96322
254,BMW,X3,2004,5.1,4,Automatic,Petrol,18.6,499,4,2666,Silver,88993
255,BMW,X3,1998,4.4,6,Automatic,Hybrid,17.8,678,3,2428,Green,137448
256,Tesla,Model Y,1991,1.1,10,Manual,Electric,14.0,360,2,2798,Blue,87226
257,Tesla,Model S,2020,3.6,3,Manual,Hybrid,12.7,156,3,3267,Black,53706
258,Toyota,Corolla,2019,3.5,4,Manual,Electric,14.0,221,4,1864,Yellow,49454
259,Ford,Escape,2021,3.0,3,Manual,Hybrid,12.9,339,5,806,White,50856
260,Toyota,Corolla,2009,2.9,4,Manual,Diesel,17.7,476,4,2302,Black,64648
261,Toyota,Corolla,1994,3.9,6,Manual,Hybrid,16.2,80,5,2448,Silver,23802
262,Tesla,Model Y,2013,3.8,5,Automatic,Hybrid,7.0,479,3,1162,Black,94425
263,BMW,5 Series,2004,3.7,4,Automatic,Diesel,7.3,219,5,3493,White,67959
264,Toyota,Corolla,2018,2.6,12,Manual,Hybrid,5.6,327,5,3152,Silver,56295
265,Tesla,Model S,2012,3.4,4,Manual,Hybrid,19.2,546,2,1182,White,104524
266,Ford,Mustang,1993,2.9,6,Automatic,Hybrid,25.0,160,3,2986,White,26058
267,Toyota,Prius,2007,4.4,3,Manual,Diesel,14.2,569,5,3364,Red,81871
268,Tesla,Model X,2016,6.0,5,Manual,Petrol,14.2,295,2,3242,Yellow,75211
269,Toyota,RAV4,2009,3.6,4,Manual,Diesel,8.0,196,3,3467,White,42517
270,Tesla,Model X,2025,2.6,3,Manual,Hybrid,13.8,548,3,2514,Silver,139366
271,BMW,X5,1993,5.4,5,Manual,Electric,7.2,165,2,3184,Red,52594
272,Ford,Mustang,1992,3.5,8,Automatic,Diesel,9.4,163,5,821,Silver,23669
273,Ford,Fusion,1999,1.7,10,Automatic,Hybrid,21.4,596,5,2109,Red,77956
274,Ford,Mustang,1997,6.5,12,Manual,Electric,5.9,341,2,2372,Red,54697
275,Mercedes,GLE,1997,5.2,3,Automatic,Petrol,21.9,243,4,1601,Green,56886
276,Honda,Accord,2020,1.4,5,Manual,Electric,17.6,339,2,2930,Black,74637
277,BMW,X5,2006,3.8,4,Manual,Hybrid,14.6,371,3,2297,Silver,87889
278,Honda,Accord,1992,5.4,10,Manual,Diesel,10.3,679,2,2388,Yellow,75260
279,Toyota,Camry,2002,4.3,8,Automatic,Petrol,20.2,80,2,982,Yellow,28251
280,BMW,5 Series,2025,4.4,6,Manual,Hybrid,15.5,227,5,1811,Silver,84785
281,Tesla,Model 3,1993,1.8,12,Manual,Diesel,13.0,339,3,1153,Yellow,56006
282,Honda,Civic,2004,1.6,3,Manual,Petrol,5.9,145,3,3141,Red,25108
283,BMW,X5,1995,2.4,3,Manual,Petrol,23.6,682,2,2442,Black,121268
284,BMW,X5,1993,5.3,12,Automatic,Petrol,13.4,247,5,2795,Black,51489
285,BMW,X3,2015,4.1,6,Automatic,Petrol,19.1,224,4,1034,Silver,62501
286,Honda,CR-V,2006,4.7,3,Manual,Petrol,7.1,342,3,1712,Silver,54226
287,Honda,Fit,2024,3.5,4,Manual,Diesel,20.4,504,2,1836,Blue,78862
288,Honda,CR-V,1991,2.2,3,Manual,Electric,19.6,149,2,2678,Silver,24480
289,Toyota,RAV4,1997,4.6,4,Automatic,Hybrid,24.5,198,5,3335,Green,32023
290,Honda,Civic,2024,4.7,3,Manual,Diesel,15.3,93,4,2900,Blue,32766
291,Mercedes,E-Class,2013,5.6,3,Manual,Diesel,13.3,436,4,3461,Red,115266
292,Honda,Fit,2018,3.6,6,Manual,Hybrid,13.0,168,5,3312,White,47083
293,Ford,Fusion,2019,3.0,8,Manual,Electric,5.4,550,2,832,Yellow,95310
294,Honda,Civic,2001,1.0,5,Automatic,Hybrid,16.0,277,4,1106,Red,40259
295,Toyota,Prius,2014,2.6,8,Manual,Electric,11.1,244,2,1288,Silver,50227
296,Honda,Civic,2004,1.3,6,Manual,Hybrid,24.2,442,4,2647,White,58925
